"Note: The Microsoft product information contained in this document at the time of its publication is a representative example of products offered through various Visual Studio Subscription levels. To confirm specific product availability, visit https://my.visualstudio.com/downloads/. The below product offerings contained in this document are accurate at the time of publication. Microsoft reserves the right to change these product offerings at any time.
"Agents for Visual Studio 2019 (version 16.7)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2019 (version 16.8)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Antigen Service Pack","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Compatibility","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Application Virtualization 4.6 Service Pack 1","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization 4.6 Service Pack 3","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization 5.0","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization 5.0 Service Pack 1","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization 5.0 Service Pack 2","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization 5.0 Service Pack 3","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization 5.1","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization for Remote Desktop Services","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization for Terminal Services","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Application Virtualization Hosting for Desktops","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Applications SDK and DDKs","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"ASP.NET AJAX 1.0","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"ASP.NET MVC 2","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü","ü"
"ASP.NET MVC 4 for Visual Studio 2010 SP1 and Visual Web Developer 2010 SP1","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü",""
"AutoCollage 2008 Academic Edition","","","","","","","","","","","","","","","","","","","","ü","","","",""
